State,Abbreviation,CurrentSupport,TotalHours,NightHours,Exactly50Hours,DocumentationCategory,ElectronicLogAccepted,DriverEducationAlternative,AgeOrPathwayException,OfficialSourceTitle,OfficialSourceURL,AccessedDate,VerificationStatus
"Montana",MT,false,50,10,true,"Certification Only",No,"75/15 for approved alternative online traffic education with parent-taught driving","Under 16 education requirement","Teen Driver Education and GDL","https://mvdmt.gov/driver-licenses/teen-drivers/",2026-08-16,"Verified — official source and IIHS cross-check"
Nebraska,NE,false,50,10,true,"Certification Only",No,Hours waived with approved driver safety course,"Under 18 provisional operator permit; school-permit exception","Provisional Operator's Permit","https://dmv.nebraska.gov/dl/pop",2026-08-16,"Verified — official source and IIHS cross-check"
Nevada,NV,false,50,10,true,Detailed Log Required,Yes,"Hours waived with qualifying defensive-driving course per national table; education exceptions by distance","Under 18","Driver Education for Teens","https://dmv.nv.gov/driveeduteens.htm",2026-08-16,"Verified — official source and IIHS cross-check"
New Hampshire,NH,false,40,10,false,Detailed Log Required,No,"Driver education required under 18","No learner permit; supervised driving starts at 15½","Certification of Additional Supervised Driving (DSMV 509)","https://www.dmv.nh.gov/sites/g/files/ehbemt416/files/inline-documents/dsmv509.pdf",2026-08-16,"Verified — official source and IIHS cross-check"
New Jersey,NJ,false,50,10,true,"Certification Only","Unclear","Permit age differs with/without driver education","Under 21 GDL; 50-hour rule effective for permits issued Feb. 1, 2025 or later","First Driver License/ID","https://www.nj.gov/mvc/license/firstlic.htm",2026-08-16,"Verified — official source and IIHS cross-check"
New Mexico,NM,false,50,10,true,Detailed Log Required,"Unclear","Driver education required under 18","Under 18 provisional pathway","Graduated Driver Licensing","https://www.mvd.newmexico.gov/chapter-1-the-driver-license/graduated-driver-licensing/",2026-08-16,"Verified — official source and IIHS cross-check"
New York,NY,false,50,15,true,"Certification Only",No,"Driver education affects unrestricted-license age","Under 18; NYC/Long Island geographic restrictions","MV-262 Certification of Supervised Driving","https://dmv.ny.gov/forms/mv262.pdf",2026-08-16,"Verified — official source and IIHS cross-check"
"North Carolina",NC,false,60,10,false,Detailed Log Required,"Unclear","Driver education required under 18","Additional 12/6 logged hours for Level 3","Get a Level 2 Limited Provisional License","https://www.ncdot.gov/dmv/license-id/driver-licenses/new-drivers/Pages/level2.aspx",2026-08-16,"Verified — official source and IIHS cross-check"
North Dakota,ND,false,50,0,true,"Certification Only",No,"Driver education required for license under 16","50 hours only if under 16; no minimum at 16+","Minor Driver Licensing","https://www.dot.nd.gov/driver/driver-license/minor-driver-licensing",2026-08-16,"Verified — official source and IIHS cross-check"
Ohio,OH,false,50,10,true,"Certification Only",Yes,"Driver education required for applicants under 21","Under 21 novice-driver pathway","Driver License First Issuance",https://www.bmv.ohio.gov/dl-gdl.aspx,2026-08-16,"Verified — official source and IIHS cross-check"
Oklahoma,OK,false,50,10,true,"Certification Only",No,"Driver education changes restricted-license timing","Under 18 GDL","Graduated Driver License","https://oklahoma.gov/service/all-services/auto-vehicle/driver-license/graduated-driver-license.html",2026-08-16,"Verified — official source and IIHS cross-check"
"Oregon",OR,false,50,0,true,"Certification Only",No,"100 hours without approved driver education","Under 18 provisional pathway","Get a Provisional Driver License","https://www.oregon.gov/odot/dmv/teen/pages/license.aspx",2026-08-16,"Verified — official source and IIHS cross-check"
"Pennsylvania",PA,false,65,10,false,"Certification Only",No,No,"Under 18 junior license","Teen Drivers","https://www.pa.gov/agencies/dmv/driver-services/teen-drivers.html",2026-08-16,"Verified — official source and IIHS cross-check"
"Rhode Island",RI,false,50,10,true,"Certification Only",Yes,"Driver education required under 18","Limited instruction permit pathway","Parent's Supervised Driving Program","https://dmv.ri.gov/licenses-permits-ids/permits-tests/new-license-permits/parents-supervised-driving-program",2026-08-16,"Verified — official source and IIHS cross-check"
"South Carolina",SC,false,40,10,false,"Certification Only",No,"Driver education required for conditional license under 17","Conditional/special restricted pathways","Beginner's Permit","https://www.scdmvonline.com/Driver-Services/Drivers-License/Beginner-Permits",2026-08-16,"Verified — official source and IIHS cross-check"
South Dakota,SD,false,50,10,true,Detailed Log Required,"Unclear","Driver education shortens permit holding period","Under 18 restricted permit pathway","Teen Drivers","https://dps.sd.gov/driver-licensing/south-dakota-licensing-information/teen-drivers",2026-08-16,"Qualified — official source found; publication caveat retained"
"Tennessee",TN,false,50,10,true,"Certification Only",No,No,"Under 18 GDL","Graduated Driver License","https://www.tn.gov/safety/driver-services/classd/gdl.html",2026-08-16,"Verified — official source and IIHS cross-check"
Texas,TX,false,30,10,false,Detailed Log Required,"Unclear","Driver education mandatory under 18; parent-taught and instructor-taught paths differ","Under 18 provisional license","Teen Driver Education","https://www.tdlr.texas.gov/driver/education/students/teen-driver-education/",2026-08-16,"Verified — official source and IIHS cross-check"
Utah,UT,false,40,10,false,"Certification Only",No,Up to 5 hours may be simulator time,"Under 19 driver education; supervising-adult liability rules","Driver License for Minors","https://dld.utah.gov/minor-driver-license/",2026-08-16,"Verified — official source and IIHS cross-check"
"Vermont",VT,false,40,10,false,Detailed Log Required,No,"Driver education required under 18","Under 18 junior operator pathway","Junior Driver's License","https://dmv.vermont.gov/licenses/types-of-licenses-permits/junior-drivers-license",2026-08-16,"Verified — official source and IIHS cross-check"
"Virginia",VA,false,45,15,false,"Certification Only",No,"Driver education required under 22, with age-specific permit period","Under 18 parent/guardian certification; 18–21 rules differ","Learner's Permit Information","https://www.dmv.virginia.gov/licenses-ids/learners/apply",2026-08-16,"Verified — official source and IIHS cross-check"
"Washington",WA,false,50,10,true,"Certification Only",No,"Driver education required under 18; phase-in to older applicants","Under 18 intermediate license","Get Your First Driver License","https://dol.wa.gov/driver-licenses-and-permits/driver-training-and-testing/get-your-first-license",2026-08-16,"Verified — official source and IIHS cross-check"
"West Virginia",WV,false,50,10,true,"Certification Only",No,"Hours waived with approved driver education","Under 18 GDL","Graduated Driver's License","https://transportation.wv.gov/DMV/Drivers/Pages/Graduated-Driver-License.aspx",2026-08-16,"Verified — official source and IIHS cross-check"
"Wisconsin",WI,false,50,10,true,"Certification Only",Yes,"Driver education required under 18","Under 18 probationary license","Parent's Supervised Driving Program","https://wisconsindot.gov/Pages/dmv/teen-driver/prnt-spnsr/psdp.aspx",2026-08-16,"Verified — official source and IIHS cross-check"
"Wyoming",WY,false,50,10,true,"Certification Only",No,"Driver education affects unrestricted-license timing","Under 17 intermediate path","Learner Permits and Driver Licenses","https://dot.state.wy.us/home/driver_license_records/driver-license/learner-permits.html",2026-08-16,"Verified — official source and IIHS cross-check"

